Model,Learning Rate,Batch Size,Optimizer,Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
ResNet-18,0.01,32,SGD,10,0.331861817,88.555,0.430379664,85.43
ResNet-18,0.01,32,SGD,11,0.297765879,89.7575,0.43495821,85.33
ResNet-18,0.01,32,SGD,12,0.273146336,90.64,0.457729596,85.1
ResNet-18,0.01,32,SGD,13,0.256801016,91.035,0.498101534,84.05
ResNet-18,0.01,32,SGD,14,0.23530242,91.85,0.414234669,85.87
ResNet-18,0.01,32,SGD,15,0.220442977,92.325,0.391010281,86.94
ResNet-18,0.01,32,Adam,1,1.843516019,30.9275,1.770896195,32.64
ResNet-18,0.01,32,Adam,2,1.481873981,45.47,2.083265036,33.52
ResNet-18,0.01,32,Adam,3,1.369196302,50.2475,1.305161179,53.35
ResNet-18,0.01,32,Adam,4,1.311521009,52.45,2.065950673,33.47
ResNet-18,0.01,32,Adam,5,1.273696272,54.3725,1.59269748,44.7
ResNet-18,0.01,32,Adam,6,1.259037589,54.655,1.354452788,51.24
ResNet-18,0.01,32,Adam,7,1.250645334,55.115,1.353681761,52.34
ResNet-18,0.01,32,Adam,8,1.240841502,55.2475,1.677249614,43.09
ResNet-18,0.01,32,Adam,9,1.234771993,55.7325,1.269139844,54.67
ResNet-18,0.01,32,Adam,10,1.221501466,56.42,1.833314756,37.86
ResNet-18,0.01,32,Adam,11,1.221795531,56.2675,2.821913004,28.59
ResNet-18,0.01,32,Adam,12,1.218110328,56.42,1.952402943,38.43
ResNet-18,0.01,32,Adam,13,1.215981135,56.21,1.850068966,34.92
ResNet-18,0.01,32,Adam,14,1.2181104,56.5625,1.278415546,53.3
ResNet-18,0.01,32,Adam,15,1.21983964,56.22,1.246038669,55.7
ResNet-18,0.01,64,SGD,1,1.550681972,43.17,1.269068917,54.4
ResNet-18,0.01,64,SGD,2,1.018250829,63.9725,0.981209419,65.74
ResNet-18,0.01,64,SGD,3,0.764753147,73.185,0.761958372,73.78
ResNet-18,0.01,64,SGD,4,0.633909067,77.95,0.74859442,74.3
ResNet-18,0.01,64,SGD,5,0.540789737,81.115,0.66353189,77.16
ResNet-18,0.01,64,SGD,6,0.477254566,83.5175,0.545589241,81.05
ResNet-18,0.01,64,SGD,7,0.414564548,85.695,0.603430105,79.4
ResNet-18,0.01,64,SGD,8,0.373381619,86.9875,0.648225254,79.83
ResNet-18,0.01,64,SGD,9,0.335068138,88.29,0.474716147,83.65
ResNet-18,0.01,64,SGD,10,0.302164846,89.52,0.556290364,81.4
ResNet-18,0.01,64,SGD,11,0.277643963,90.3675,0.479026802,83.72
ResNet-18,0.01,64,SGD,12,0.250394538,91.245,0.535430393,82.96
ResNet-18,0.01,64,SGD,13,0.225485767,92.145,0.560483565,82.29
ResNet-18,0.01,64,SGD,14,0.201343404,93.0075,0.457937479,84.63
ResNet-18,0.01,64,SGD,15,0.185225144,93.6775,0.439023886,86.07
ResNet-18,0.01,64,Adam,1,1.906214568,29.2475,1.847298048,31.4
ResNet-18,0.01,64,Adam,2,1.520063722,43.045,1.826767118,36.29
ResNet-18,0.01,64,Adam,3,1.293548359,52.7325,1.592092004,44.45
ResNet-18,0.01,64,Adam,4,1.178288951,57.5,2.90895591,37.88
ResNet-18,0.01,64,Adam,5,1.108615276,60.18,1.47130741,47.56
ResNet-18,0.01,64,Adam,6,1.062167447,61.845,2.551658669,25.77
ResNet-18,0.01,64,Adam,7,1.030116669,63.28,1.202278739,59.07
ResNet-18,0.01,64,Adam,8,1.00674426,64.11,1.200107427,58.26
ResNet-18,0.01,64,Adam,9,0.98378761,64.8275,1.516621441,51.83
ResNet-18,0.01,64,Adam,10,0.973935707,65.4125,1.864160038,45.21
ResNet-18,0.01,64,Adam,11,0.963688887,65.83,1.038147451,63.91
ResNet-18,0.01,64,Adam,12,0.953050257,66.4375,1.183635938,58.92
ResNet-18,0.01,64,Adam,13,0.940317496,66.5025,1.714608589,44.95
ResNet-18,0.01,64,Adam,14,0.936318345,66.7825,1.827463157,45.88
ResNet-18,0.01,64,Adam,15,0.932058322,67.175,1.095098957,60.38
AlexNet,0.1,32,SGD,1,,10.2375,,10
AlexNet,0.1,32,SGD,2,,10,,10
AlexNet,0.1,32,SGD,3,,10,,10
AlexNet,0.1,32,SGD,4,,10,,10
AlexNet,0.1,32,SGD,5,,10,,10
AlexNet,0.1,32,SGD,6,,10,,10
AlexNet,0.1,32,SGD,7,,10,,10
AlexNet,0.1,32,SGD,8,,10,,10
AlexNet,0.1,32,SGD,9,,10,,10
AlexNet,0.1,32,SGD,10,,10,,10
AlexNet,0.1,32,SGD,11,,10,,10
AlexNet,0.1,32,SGD,12,,10,,10
AlexNet,0.1,32,SGD,13,,10,,10
AlexNet,0.1,32,SGD,14,,10,,10
AlexNet,0.1,32,SGD,15,,10,,10
AlexNet,0.1,32,Adam,1,2.48655E+11,10.3225,2.319247439,10
AlexNet,0.1,32,Adam,2,2.493702193,9.615,3.364014976,10
AlexNet,0.1,32,Adam,3,3.573643297,10.2225,3.29738975,10
AlexNet,0.1,32,Adam,4,3.788001501,9.98,3.532778244,10
AlexNet,0.1,32,Adam,5,4.282206813,10.03,3.225593481,10
AlexNet,0.1,32,Adam,6,3.984935486,10.1375,8.071081133,10
AlexNet,0.1,32,Adam,7,4.468971111,10.0575,4.320336967,10
AlexNet,0.1,32,Adam,8,4.363430055,10.12,4.008486872,10
AlexNet,0.1,32,Adam,9,3.591901197,9.96,2.543471503,10
AlexNet,0.1,32,Adam,10,2.917455256,10.135,2.522739124,10
AlexNet,0.1,32,Adam,11,2.688855143,10.1,2.626594715,10
AlexNet,0.1,32,Adam,12,2.636292817,10.12,2.385242589,10
AlexNet,0.1,32,Adam,13,2.705416817,9.8375,2.661928933,10
AlexNet,0.1,32,Adam,14,91.23707225,9.985,2.695584047,10
AlexNet,0.1,32,Adam,15,2.746601889,10.0325,2.536535246,10
AlexNet,0.1,64,SGD,1,,11.1025,,10
AlexNet,0.1,64,SGD,2,,10,,10
AlexNet,0.1,64,SGD,3,,10,,10
AlexNet,0.1,64,SGD,4,,10,,10
AlexNet,0.1,64,SGD,5,,10,,10
AlexNet,0.1,64,SGD,6,,10,,10
AlexNet,0.1,64,SGD,7,,10,,10
AlexNet,0.1,64,SGD,8,,10,,10
AlexNet,0.1,64,SGD,9,,10,,10
AlexNet,0.1,64,SGD,10,,10,,10
AlexNet,0.1,64,SGD,11,,10,,10
AlexNet,0.1,64,SGD,12,,10,,10
AlexNet,0.1,64,SGD,13,,10,,10
AlexNet,0.1,64,SGD,14,,10,,10
AlexNet,0.1,64,SGD,15,,10,,10
AlexNet,0.1,64,Adam,1,1.33165E+11,10.1125,2.306273685,10
AlexNet,0.1,64,Adam,2,44305488.9,9.7575,2.305840626,10
AlexNet,0.1,64,Adam,3,37321.42902,9.8225,2.312351027,10
AlexNet,0.1,64,Adam,4,17058.06913,10.29,2.305256155,10
AlexNet,0.1,64,Adam,5,5369.7252,9.8425,2.312596152,10
AlexNet,0.1,64,Adam,6,4946.24068,9.9725,2.311221187,10
AlexNet,0.1,64,Adam,7,9846.620811,9.67,2.305785058,10
AlexNet,0.1,64,Adam,8,1221.210729,9.8525,2.309368665,10
AlexNet,0.1,64,Adam,9,3676.758703,9.8275,2.315420568,10
AlexNet,0.1,64,Adam,10,3470.242629,10.1225,2.310217102,10
AlexNet,0.1,64,Adam,11,3684.277306,9.84,2.309264719,10
AlexNet,0.1,64,Adam,12,38360.24859,9.91,2.321135988,10
AlexNet,0.1,64,Adam,13,191.4704012,9.8225,2.322310069,10
AlexNet,0.1,64,Adam,14,203.4631474,10.005,2.306269219,10
AlexNet,0.1,64,Adam,15,220753708.2,10.1325,2.306391082,10
AlexNet,0.01,32,SGD,1,1.848565477,30.6725,1.450091516,47.97
AlexNet,0.01,32,SGD,2,1.330313669,51.515,1.236557494,56.12
AlexNet,0.01,32,SGD,3,1.092076215,61.45,1.034123433,63.91
AlexNet,0.01,32,SGD,4,0.951280521,66.8775,0.908672847,68.47
AlexNet,0.01,32,SGD,5,0.862958357,70.195,0.833900787,71.02
AlexNet,0.01,32,SGD,6,0.803092902,72.375,0.711188849,75.17
AlexNet,0.01,32,SGD,7,0.744477547,74.6375,0.752497413,73.98
AlexNet,0.01,32,SGD,8,0.703055391,75.9725,0.70836403,75.77
AlexNet,0.01,32,SGD,9,0.67259165,77.105,0.688071034,76.62
AlexNet,0.01,32,SGD,10,0.646935736,77.885,0.66275848,77.7
AlexNet,0.01,32,SGD,11,0.618525137,78.6925,0.697270526,76.24
AlexNet,0.01,32,SGD,12,0.604313202,79.4225,0.651974459,77.87
AlexNet,0.01,32,SGD,13,0.578948158,80.3475,0.631414945,79.08
AlexNet,0.01,32,SGD,14,0.561691437,81.025,0.612390132,79.83
AlexNet,0.01,32,SGD,15,0.542971992,81.6975,0.630406497,79.13
AlexNet,0.01,32,Adam,1,3585.75499,10.1475,2.311104593,10
AlexNet,0.01,32,Adam,2,22.45592093,10.2375,2.344324832,10
AlexNet,0.01,32,Adam,3,35.17989326,10.005,2.307790883,10
AlexNet,0.01,32,Adam,4,2.316941104,9.9825,2.34517293,10
AlexNet,0.01,32,Adam,5,468832.0193,10.0675,6.733523917,10
AlexNet,0.01,32,Adam,6,2658539.255,10.055,2.324593396,10
AlexNet,0.01,32,Adam,7,3.514498486,10.3,2.467127061,10.02
AlexNet,0.01,32,Adam,8,5736.577171,9.7525,2.322487175,10
AlexNet,0.01,32,Adam,9,2481485.298,9.93,2.310257773,10
AlexNet,0.01,32,Adam,10,42.58660901,10.0175,1367.55898,10
AlexNet,0.01,32,Adam,11,1388.896259,9.9625,2.32491796,10
AlexNet,0.01,32,Adam,12,14.40285554,10.0475,2.311033299,10
AlexNet,0.01,32,Adam,13,5769.362654,9.9175,241.0487385,9.99
AlexNet,0.01,32,Adam,14,8631.434635,10.205,2.309308195,10
AlexNet,0.01,32,Adam,15,13834.07424,10.0925,290.2585395,9.99
AlexNet,0.01,64,SGD,1,1.911927056,28.615,1.505800841,44.31
AlexNet,0.01,64,SGD,2,1.363756053,50.13,1.25101429,56.64
AlexNet,0.01,64,SGD,3,1.075711924,62.145,1.012835335,65.53
AlexNet,0.01,64,SGD,4,0.912673529,68.115,0.88504236,68.68
AlexNet,0.01,64,SGD,5,0.798258053,72.565,0.784113136,73.39
AlexNet,0.01,64,SGD,6,0.725787585,74.6625,0.740068578,74.65
AlexNet,0.01,64,SGD,7,0.652505554,77.51,0.688300985,77.01
AlexNet,0.01,64,SGD,8,0.603748537,79.12,0.58936678,80.19
AlexNet,0.01,64,SGD,9,0.550794535,81.0125,0.610472963,79.65
AlexNet,0.01,64,SGD,10,0.522792408,82.0675,0.572101856,80.48
