Model,Learning Rate,Batch Size,Optimizer,Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
GoogleNet,0.1,32,SGD,11,0.826365988,71.4675,1.15854695,59.74
GoogleNet,0.1,32,SGD,12,0.822038513,71.7125,1.695468924,52.52
GoogleNet,0.1,32,SGD,13,0.810186216,72.04,1.272286325,59.98
GoogleNet,0.1,32,SGD,14,0.811957748,71.845,1.006388855,65.31
GoogleNet,0.1,32,SGD,15,0.799540337,72.4725,1.225883821,59.49
GoogleNet,0.1,32,Adam,1,2.275939791,15.6175,8.553833327,10
GoogleNet,0.1,32,Adam,2,2.186974081,15.4475,2.310152476,10
GoogleNet,0.1,32,Adam,3,2.320899544,10.2925,2.307284441,10
GoogleNet,0.1,32,Adam,4,2.325794433,9.8225,2.317249906,10
GoogleNet,0.1,32,Adam,5,2.323562648,9.985,2.308465676,10
GoogleNet,0.1,32,Adam,6,2.3229076,10.1,2.308922415,10
GoogleNet,0.1,32,Adam,7,2.323705773,9.85,2.313883998,10
GoogleNet,0.1,32,Adam,8,2.323864024,9.86,2.309587028,10
GoogleNet,0.1,32,Adam,9,2.323429695,9.705,2.357770028,10
GoogleNet,0.1,32,Adam,10,2.323816504,10.1225,2.310526724,10
GoogleNet,0.1,32,Adam,11,2.324619215,9.9275,2.317112978,10
GoogleNet,0.1,32,Adam,12,2.323909861,9.905,2.31879097,10
GoogleNet,0.1,32,Adam,13,2.322895191,9.98,2.317238135,10
GoogleNet,0.1,32,Adam,14,2.323553161,10.1,2.317386451,10
GoogleNet,0.1,32,Adam,15,2.323262586,9.96,2.313544824,10
GoogleNet,0.1,64,SGD,1,1.943740891,29.0425,1.680735643,36.71
GoogleNet,0.1,64,SGD,2,1.471075463,44.8975,1.60218732,40.81
GoogleNet,0.1,64,SGD,3,1.220134201,55.725,1.125618021,60.18
GoogleNet,0.1,64,SGD,4,1.043505511,62.965,1.221736432,57.02
GoogleNet,0.1,64,SGD,5,0.937753918,66.955,1.039525114,62.15
GoogleNet,0.1,64,SGD,6,0.848424241,70.19,1.267438365,57.3
GoogleNet,0.1,64,SGD,7,0.777328824,73.055,1.024955914,65.82
GoogleNet,0.1,64,SGD,8,0.73064865,74.535,1.014153247,67.25
GoogleNet,0.1,64,SGD,9,0.701446926,75.74,1.478210787,57.36
GoogleNet,0.1,64,SGD,10,0.673522592,76.8725,1.119438499,62.95
GoogleNet,0.1,64,SGD,11,0.653234585,77.5125,0.973149663,66.75
GoogleNet,0.1,64,SGD,12,0.641778802,77.9525,0.737796789,74.29
GoogleNet,0.1,64,SGD,13,0.621863867,78.6075,0.844939769,70.75
GoogleNet,0.1,64,SGD,14,0.619803175,78.7,0.760962506,73.72
GoogleNet,0.1,64,SGD,15,0.608061627,79.1925,1.262166514,61.26
GoogleNet,0.1,64,Adam,1,2.257537583,15.9725,2.238535881,12.65
GoogleNet,0.1,64,Adam,2,2.067091002,18.27,2.511651189,11.17
GoogleNet,0.1,64,Adam,3,2.123993991,16.8425,2.358104756,9.93
GoogleNet,0.1,64,Adam,4,2.096135561,18.0175,4.699456036,10.22
GoogleNet,0.1,64,Adam,5,2.15878645,16.51,2.509229219,9.94
GoogleNet,0.1,64,Adam,6,2.137005596,16.985,2.56213098,10
GoogleNet,0.1,64,Adam,7,2.13061638,16.98,6.507046933,9.82
GoogleNet,0.1,64,Adam,8,2.123150487,17.5625,2.412576592,10.37
GoogleNet,0.1,64,Adam,9,2.268439702,12.3675,2.310418849,10
GoogleNet,0.1,64,Adam,10,2.31640055,9.8875,2.307887819,10
GoogleNet,0.1,64,Adam,11,2.314559288,9.7875,2.313237567,10
GoogleNet,0.1,64,Adam,12,2.316678558,10.12,2.31579499,10
GoogleNet,0.1,64,Adam,13,2.315633062,10.0375,2.31065994,10
GoogleNet,0.1,64,Adam,14,2.317224889,9.9,2.307891667,10
GoogleNet,0.1,64,Adam,15,2.319028001,9.9575,2.310332749,10
GoogleNet,0.01,32,SGD,1,1.702745665,36.71,1.308550867,52.25
GoogleNet,0.01,32,SGD,2,1.233820046,55.3875,1.21896993,57.19
GoogleNet,0.01,32,SGD,3,0.970387046,66.0075,0.940641043,67.08
GoogleNet,0.01,32,SGD,4,0.798851335,71.96,0.746547732,73.9
GoogleNet,0.01,32,SGD,5,0.684346275,76.18,0.675588031,77.45
GoogleNet,0.01,32,SGD,6,0.605046817,78.87,0.614254597,79.22
GoogleNet,0.01,32,SGD,7,0.547063824,81.2325,0.620541009,78.62
GoogleNet,0.01,32,SGD,8,0.504802622,82.4875,0.505645175,82.33
GoogleNet,0.01,32,SGD,9,0.463753778,84.1975,0.586671371,80.52
GoogleNet,0.01,32,SGD,10,0.432167868,85.28,0.548184668,81.64
GoogleNet,0.01,32,SGD,11,0.404296474,86.0425,0.475699604,83.98
GoogleNet,0.01,32,SGD,12,0.377314887,86.8325,0.417766352,85.4
GoogleNet,0.01,32,SGD,13,0.359246096,87.6175,0.473091321,83.94
GoogleNet,0.01,32,SGD,14,0.32949616,88.54,0.410579021,85.57
GoogleNet,0.01,32,SGD,15,0.320516857,89.0375,0.424161992,85.81
GoogleNet,0.01,32,Adam,1,1.917153227,28.0475,1.723053377,36.26
GoogleNet,0.01,32,Adam,2,1.618149223,39.76,2.006407108,30.07
GoogleNet,0.01,32,Adam,3,1.518366193,44.135,1.753467399,38.65
GoogleNet,0.01,32,Adam,4,1.468211477,46.425,1.514067453,42.74
GoogleNet,0.01,32,Adam,5,1.441056029,47.4175,1.77148422,40.67
GoogleNet,0.01,32,Adam,6,1.415106424,48.78,1.414191486,48.71
GoogleNet,0.01,32,Adam,7,1.410671115,48.85,1.421823479,48.82
GoogleNet,0.01,32,Adam,8,1.400249572,49.2925,1.492654834,46.18
GoogleNet,0.01,32,Adam,9,1.38702471,49.685,1.475239226,45.77
GoogleNet,0.01,32,Adam,10,1.384271187,49.7175,1.512550987,44.83
GoogleNet,0.01,32,Adam,11,1.37152556,50.4,3.332069118,22.05
GoogleNet,0.01,32,Adam,12,1.356046448,51.175,1.362226,50.18
GoogleNet,0.01,32,Adam,13,1.359034305,50.8775,1.323878818,53.32
GoogleNet,0.01,32,Adam,14,1.350636698,51.305,1.430483879,49.17
GoogleNet,0.01,32,Adam,15,1.343454354,51.83,1.567747258,44.34
GoogleNet,0.01,64,SGD,1,1.565369717,42.1475,1.433479223,49.84
GoogleNet,0.01,64,SGD,2,1.103722091,60.5025,0.968261887,65.87
GoogleNet,0.01,64,SGD,3,0.875016807,69.4875,0.818022429,71.22
GoogleNet,0.01,64,SGD,4,0.716738193,75.0825,0.661122731,76.65
GoogleNet,0.01,64,SGD,5,0.611584132,78.725,0.592906942,79.48
GoogleNet,0.01,64,SGD,6,0.530471548,81.5925,0.714044017,75.64
GoogleNet,0.01,64,SGD,7,0.476108029,83.4725,0.548027273,81.09
GoogleNet,0.01,64,SGD,8,0.43175571,84.9225,0.51213359,83.05
GoogleNet,0.01,64,SGD,9,0.392942929,86.4675,0.517462383,82.63
GoogleNet,0.01,64,SGD,10,0.364984059,87.2,0.558534014,81.48
GoogleNet,0.01,64,SGD,11,0.333128768,88.43,0.497524895,82.81
GoogleNet,0.01,64,SGD,12,0.306705266,89.2375,0.441759873,85.3
GoogleNet,0.01,64,SGD,13,0.278848507,90.4125,0.514146355,83.72
GoogleNet,0.01,64,SGD,14,0.268188817,90.6975,0.490549234,84.05
GoogleNet,0.01,64,SGD,15,0.246607715,91.4175,0.494942037,83.79
GoogleNet,0.01,64,Adam,1,1.911161756,28.005,1.925567862,28.91
GoogleNet,0.01,64,Adam,2,1.609317401,39.4425,1.520906351,43.31
GoogleNet,0.01,64,Adam,3,1.483317202,44.72,1.438755996,46.48
GoogleNet,0.01,64,Adam,4,1.401218838,48.09,1.507877526,44.5
GoogleNet,0.01,64,Adam,5,1.32995245,51.7675,1.329899287,52.94
GoogleNet,0.01,64,Adam,6,1.28578953,53.7775,1.38334249,49.82
GoogleNet,0.01,64,Adam,7,1.241012085,55.58,1.422269056,48.31
GoogleNet,0.01,64,Adam,8,1.223505058,56.1725,1.182450532,57.1
GoogleNet,0.01,64,Adam,9,1.203735252,57.3775,1.409196012,53.56
GoogleNet,0.01,64,Adam,10,1.185885353,57.7675,1.259363703,55.88
GoogleNet,0.01,64,Adam,11,1.175599953,58.3325,1.533097373,46.59
GoogleNet,0.01,64,Adam,12,1.165893976,58.345,1.688741448,44.1
GoogleNet,0.01,64,Adam,13,1.156339582,58.72,2.554027121,34.46
GoogleNet,0.01,64,Adam,14,1.150837182,59.1875,1.35600215,51.72
GoogleNet,0.01,64,Adam,15,1.14570112,59.4575,1.370791938,52.45
SimpleCNN,0.1,32,SGD,1,2.718782547,9.85,2.305733807,10
SimpleCNN,0.1,32,SGD,2,2.309512251,10.0575,2.303975134,10
SimpleCNN,0.1,32,SGD,3,2.309357346,9.8025,2.307454369,10.04
SimpleCNN,0.1,32,SGD,4,2.309959902,9.92,2.309149625,10
SimpleCNN,0.1,32,SGD,5,2.30926246,10.275,2.304273252,10
SimpleCNN,0.1,32,SGD,6,2.309255725,10.215,2.311530802,10
SimpleCNN,0.1,32,SGD,7,2.309060543,10.065,2.313585207,10
SimpleCNN,0.1,32,SGD,8,2.308843763,10.18,2.307252591,10
SimpleCNN,0.1,32,SGD,9,2.308956295,10.19,2.307709057,10
SimpleCNN,0.1,32,SGD,10,2.309499339,10.145,2.310894842,10
SimpleCNN,0.1,32,SGD,11,2.309740742,10.0675,2.309465134,10
SimpleCNN,0.1,32,SGD,12,2.308965086,9.9,2.308807271,10
SimpleCNN,0.1,32,SGD,13,2.309289565,10.1275,2.307999558,10
SimpleCNN,0.1,32,SGD,14,2.31014285,10.01,2.30978765,10
SimpleCNN,0.1,32,SGD,15,2.309823303,9.925,2.310805569,10
SimpleCNN,0.1,32,Adam,1,29.0009791,9.9175,2.307656188,10
SimpleCNN,0.1,32,Adam,2,2.319528805,9.91,2.317728083,10
SimpleCNN,0.1,32,Adam,3,2.319885588,9.765,2.318457692,10
SimpleCNN,0.1,32,Adam,4,2.32112913,9.9,2.308167863,10
SimpleCNN,0.1,32,Adam,5,2.320380979,10.015,2.310660264,10
SimpleCNN,0.1,32,Adam,6,2.319167981,9.8875,2.321615818,10
SimpleCNN,0.1,32,Adam,7,2.319320882,9.88,2.315342035,10
SimpleCNN,0.1,32,Adam,8,2.31876342,10.0525,2.314278944,10
SimpleCNN,0.1,32,Adam,9,2.318859705,10.075,2.315426145,10
SimpleCNN,0.1,32,Adam,10,2.319208646,9.7575,2.319456618,10
SimpleCNN,0.1,32,Adam,11,2.317311938,9.88,2.312198215,10
SimpleCNN,0.1,32,Adam,12,2.319493001,9.8675,2.311625569,10
SimpleCNN,0.1,32,Adam,13,2.823090909,9.875,2.312623427,10
SimpleCNN,0.1,32,Adam,14,8.201902029,10.42,2.34548058,10
SimpleCNN,0.1,32,Adam,15,3.186306046,10.2925,2.307909081,10
SimpleCNN,0.1,64,SGD,1,3.208295838,9.8425,2.306319926,10.02
SimpleCNN,0.1,64,SGD,2,2.306622579,9.995,2.308103454,10
SimpleCNN,0.1,64,SGD,3,2.306614921,9.935,2.308034701,10
SimpleCNN,0.1,64,SGD,4,2.306067105,10.11,2.306518133,10
SimpleCNN,0.1,64,SGD,5,2.306951632,10.11,2.305250852,10
SimpleCNN,0.1,64,SGD,6,2.30633745,9.975,2.305447981,10
SimpleCNN,0.1,64,SGD,7,2.305785141,10.125,2.307220988,10
SimpleCNN,0.1,64,SGD,8,2.305836837,10.2575,2.304960599,10
SimpleCNN,0.1,64,SGD,9,2.306025768,9.83,2.305997975,10
SimpleCNN,0.1,64,SGD,10,2.305987702,9.9525,2.306567805,10
SimpleCNN,0.1,64,SGD,11,2.306319751,10.0825,2.305136516,10
SimpleCNN,0.1,64,SGD,12,2.306107915,9.745,2.305792305,10
SimpleCNN,0.1,64,SGD,13,2.306497881,9.74,2.305147636,10
SimpleCNN,0.1,64,SGD,14,2.306350283,10.045,2.304961863,10
SimpleCNN,0.1,64,SGD,15,2.306487984,10.0125,2.307419643,10
SimpleCNN,0.1,64,Adam,1,54.46697164,10.38,2.306104405,10
SimpleCNN,0.1,64,Adam,2,2.31290146,10.0875,2.314607046,10
SimpleCNN,0.1,64,Adam,3,2.318116732,10.015,2.320514503,10
SimpleCNN,0.1,64,Adam,4,2.314044704,9.9525,2.317622054,10
SimpleCNN,0.1,64,Adam,5,2.314203676,9.9025,2.30828295,10
SimpleCNN,0.1,64,Adam,6,2.324989835,9.8175,2.313694539,10
SimpleCNN,0.1,64,Adam,7,2.326097129,9.9175,2.307660363,10
SimpleCNN,0.1,64,Adam,8,2.312158442,10.1575,2.313593621,10
SimpleCNN,0.1,64,Adam,9,2.313948173,10.32,2.308434215,10
SimpleCNN,0.1,64,Adam,10,2.31345416,9.86,2.308449976,10
SimpleCNN,0.1,64,Adam,11,2.314573405,9.8075,2.321143849,10
SimpleCNN,0.1,64,Adam,12,2.313859524,10.18,2.313640223,10
SimpleCNN,0.1,64,Adam,13,2.312640054,10.1125,2.314005396,10
SimpleCNN,0.1,64,Adam,14,2.315378528,10.055,2.309824166,10
SimpleCNN,0.1,64,Adam,15,2.311900297,9.9175,2.314748425,10
SimpleCNN,0.01,32,SGD,1,2.24915505,14.4725,2.137563138,18.82
SimpleCNN,0.01,32,SGD,2,2.137814462,19.3725,1.936857136,27
SimpleCNN,0.01,32,SGD,3,1.892388089,30.3375,1.654884398,39.52
SimpleCNN,0.01,32,SGD,4,1.71081755,37.4375,1.509550081,46.75
SimpleCNN,0.01,32,SGD,5,1.593316016,42.0325,1.3636406,51.15
SimpleCNN,0.01,32,SGD,6,1.520818097,44.67,1.354461759,51.97
SimpleCNN,0.01,32,SGD,7,1.463274717,47.14,1.330707945,52.4
SimpleCNN,0.01,32,SGD,8,1.42223742,48.595,1.248183779,56.79
SimpleCNN,0.01,32,SGD,9,1.386263324,50.3275,1.216212431,57.51
SimpleCNN,0.01,32,SGD,10,1.339415203,52.14,1.210990453,57.31
SimpleCNN,0.01,32,SGD,11,1.296802253,53.7375,1.140384381,60.18
SimpleCNN,0.01,32,SGD,12,1.246043668,55.6575,1.112030658,61.5
SimpleCNN,0.01,32,SGD,13,1.208377616,57.2625,1.029697883,63.79
SimpleCNN,0.01,32,SGD,14,1.175964454,58.515,1.036487361,63.24
SimpleCNN,0.01,32,SGD,15,1.144609442,59.9825,1.056085547,63.44
SimpleCNN,0.01,32,Adam,1,3.644908944,9.7725,2.304447637,10.01
SimpleCNN,0.01,32,Adam,2,2.156028036,19.26,1.944111576,28.16
SimpleCNN,0.01,32,Adam,3,1.998194199,25.23,1.813706747,31.75
SimpleCNN,0.01,32,Adam,4,1.952446811,26.29,1.78758582,31.08
SimpleCNN,0.01,32,Adam,5,1.896226397,27.72,1.767283885,33.05
SimpleCNN,0.01,32,Adam,6,1.888152159,28.1625,1.770982625,29.21
SimpleCNN,0.01,32,Adam,7,1.878725873,28.4925,1.778427509,31.91
SimpleCNN,0.01,32,Adam,8,1.883399321,28.7575,1.741441816,32.93
SimpleCNN,0.01,32,Adam,9,1.872401178,28.815,1.767425889,33.22
SimpleCNN,0.01,32,Adam,10,1.866363878,28.625,1.733036246,35.28
SimpleCNN,0.01,32,Adam,11,1.873666924,28.585,1.755807972,32.28
SimpleCNN,0.01,32,Adam,12,1.898340218,27.7425,1.810011314,30.46
SimpleCNN,0.01,32,Adam,13,1.878329927,28.7375,1.752235368,32.95
SimpleCNN,0.01,32,Adam,14,1.87299305,28.8225,1.743750362,33.76
SimpleCNN,0.01,32,Adam,15,1.875269839,28.61,1.760054964,32.11
SimpleCNN,0.01,64,SGD,1,2.296095479,11.6375,2.303020024,10
SimpleCNN,0.01,64,SGD,2,2.303069372,9.905,2.302719958,10.01
SimpleCNN,0.01,64,SGD,3,2.302995034,9.8075,2.302923589,10
SimpleCNN,0.01,64,SGD,4,2.302876005,9.975,2.299664838,9.78
SimpleCNN,0.01,64,SGD,5,2.260349019,12.47,2.208469086,16.54
SimpleCNN,0.01,64,SGD,6,2.217504168,14.42,2.131695471,17.94
SimpleCNN,0.01,64,SGD,7,2.148474032,17.4775,2.01244076,25.5
SimpleCNN,0.01,64,SGD,8,2.094252461,19.7775,1.917624429,28.84
SimpleCNN,0.01,64,SGD,9,1.992020963,23.7375,1.827303218,31.02
SimpleCNN,0.01,64,SGD,10,1.932924167,25.7275,1.730373927,37.71
SimpleCNN,0.01,64,SGD,11,1.854624001,29.7275,1.619465827,40.49
SimpleCNN,0.01,64,SGD,12,1.766750987,33.4225,1.512426641,45.58
SimpleCNN,0.01,64,SGD,13,1.639272564,39.08,1.376587174,51.29
SimpleCNN,0.01,64,SGD,14,1.557356545,42.555,1.316915998,53.16
SimpleCNN,0.01,64,SGD,15,1.513461681,44.25,1.287042812,54.02
SimpleCNN,0.01,64,Adam,1,4.111614338,9.99,2.302995973,10
SimpleCNN,0.01,64,Adam,2,2.417664337,9.735,2.303035445,10.01
SimpleCNN,0.01,64,Adam,3,2.179563617,18.155,1.916708035,31.4
SimpleCNN,0.01,64,Adam,4,1.961739855,27.12,1.80176248,33.8
SimpleCNN,0.01,64,Adam,5,1.921630033,27.9325,1.753022964,35.47
SimpleCNN,0.01,64,Adam,6,1.857025906,29.915,1.739330603,35.74
SimpleCNN,0.01,64,Adam,7,1.87704137,29.8825,1.729673028,34.82
SimpleCNN,0.01,64,Adam,8,1.830246022,31.225,1.771001631,33.49
SimpleCNN,0.01,64,Adam,9,1.81418948,31.3625,1.665551218,37.46
SimpleCNN,0.01,64,Adam,10,1.79702767,31.735,1.623091022,39.93
SimpleCNN,0.01,64,Adam,11,1.754406148,33.81,1.619775149,39.36
SimpleCNN,0.01,64,Adam,12,1.74745626,34.5175,1.571636248,41.39
SimpleCNN,0.01,64,Adam,13,1.731422947,34.96,1.600214449,39.5
SimpleCNN,0.01,64,Adam,14,1.730452212,35.075,1.581830126,40.54
SimpleCNN,0.01,64,Adam,15,1.722844153,35.545,1.579956908,42.57
